program,multiplier,precision,n,p,m,block_x,block_y,grid_x,grid_y,exe_time
"task1","gpu","float",8192,8192,1024,128,8,8,1024,297.564728
"task1","gpu","float",8192,8192,1024,128,8,8,1024,279.622345
"task1","gpu","float",8192,8192,1024,128,8,8,1024,280.718353
"task1","gpu","float",8192,8192,1024,256,4,4,2048,296.283173
"task1","gpu","float",8192,8192,1024,256,4,4,2048,305.833344
"task1","gpu","float",8192,8192,1024,256,4,4,2048,311.626526
"task1","gpu","float",1024,1024,1024,8,128,128,8,7.518688
"task1","gpu","float",1024,1024,1024,8,128,128,8,7.516832
"task1","gpu","float",1024,1024,1024,8,128,128,8,7.516896
"task1","gpu","float",1024,1024,1024,16,64,64,16,4.584544
"task1","gpu","float",1024,1024,1024,16,64,64,16,4.599264
"task1","gpu","float",1024,1024,1024,16,64,64,16,4.597792
"task1","gpu","float",1024,1024,1024,32,32,32,32,3.697792
"task1","gpu","float",1024,1024,1024,32,32,32,32,3.702080
"task1","gpu","float",1024,1024,1024,32,32,32,32,3.703424
"task1","gpu","float",1024,1024,1024,64,16,16,64,3.633216
"task1","gpu","float",1024,1024,1024,64,16,16,64,3.632160
"task1","gpu","float",1024,1024,1024,64,16,16,64,3.620704
"task1","gpu","float",1024,1024,1024,128,8,8,128,3.762784
"task1","gpu","float",1024,1024,1024,128,8,8,128,3.720800
"task1","gpu","float",1024,1024,1024,128,8,8,128,3.735360
"task1","gpu","float",1024,1024,1024,256,4,4,256,3.772640
"task1","gpu","float",1024,1024,1024,256,4,4,256,3.787968
"task1","gpu","float",1024,1024,1024,256,4,4,256,3.805760
"task1","gpu","float",8192,8192,8192,8,128,1024,64,2615.061523
"task1","gpu","float",8192,8192,8192,8,128,1024,64,2656.926514
"task1","gpu","float",8192,8192,8192,8,128,1024,64,2655.443115
"task1","gpu","float",8192,8192,8192,16,64,512,128,2171.831055
"task1","gpu","float",8192,8192,8192,16,64,512,128,2176.729736
"task1","gpu","float",8192,8192,8192,16,64,512,128,2188.744629
"task1","gpu","float",8192,8192,8192,32,32,256,256,2192.226807
"task1","gpu","float",8192,8192,8192,32,32,256,256,2188.287354
"task1","gpu","float",8192,8192,8192,32,32,256,256,2183.651855
"task1","gpu","float",8192,8192,8192,64,16,128,512,2205.990967
"task1","gpu","float",8192,8192,8192,64,16,128,512,2211.817871
"task1","gpu","float",8192,8192,8192,64,16,128,512,2229.846191
"task1","gpu","float",8192,8192,8192,128,8,64,1024,2315.852783
"task1","gpu","float",8192,8192,8192,128,8,64,1024,2325.890381
"task1","gpu","float",8192,8192,8192,128,8,64,1024,2303.300781
"task1","gpu","float",8192,8192,8192,256,4,32,2048,2557.598633
"task1","gpu","float",8192,8192,8192,256,4,32,2048,2560.012695
"task1","gpu","float",8192,8192,8192,256,4,32,2048,2562.724365
"task1","gpu","float",1024,8192,1024,8,128,128,8,43.204735
"task1","gpu","float",1024,8192,1024,8,128,128,8,42.741089
"task1","gpu","float",1024,8192,1024,8,128,128,8,59.780319
"task1","gpu","float",1024,8192,1024,16,64,64,16,43.089279
"task1","gpu","float",1024,8192,1024,16,64,64,16,43.063423
"task1","gpu","float",1024,8192,1024,16,64,64,16,43.079647
"task1","gpu","float",1024,8192,1024,32,32,32,32,43.036510
"task1","gpu","float",1024,8192,1024,32,32,32,32,43.066399
"task1","gpu","float",1024,8192,1024,32,32,32,32,43.015362
"task1","gpu","float",1024,8192,1024,64,16,16,64,42.874561
"task1","gpu","float",1024,8192,1024,64,16,16,64,42.832832
"task1","gpu","float",1024,8192,1024,64,16,16,64,42.877953
"task1","gpu","float",1024,8192,1024,128,8,8,128,42.836319
"task1","gpu","float",1024,8192,1024,128,8,8,128,42.831104
"task1","gpu","float",1024,8192,1024,128,8,8,128,42.856064
"task1","gpu","float",1024,8192,1024,256,4,4,256,43.331615
"task1","gpu","float",1024,8192,1024,256,4,4,256,43.414463
"task1","gpu","float",1024,8192,1024,256,4,4,256,43.339775
"task1","gpu","float",8192,1024,8192,8,128,1024,64,370.561646
"task1","gpu","float",8192,1024,8192,8,128,1024,64,329.199829
"task1","gpu","float",8192,1024,8192,8,128,1024,64,329.258972
"task1","gpu","float",8192,1024,8192,16,64,512,128,270.948242
"task1","gpu","float",8192,1024,8192,16,64,512,128,271.049835
"task1","gpu","float",8192,1024,8192,16,64,512,128,271.587097
"task1","gpu","float",8192,1024,8192,32,32,256,256,271.450653
"task1","gpu","float",8192,1024,8192,32,32,256,256,271.502045
"task1","gpu","float",8192,1024,8192,32,32,256,256,271.478485
"task1","gpu","float",8192,1024,8192,64,16,128,512,274.805786
"task1","gpu","float",8192,1024,8192,64,16,128,512,275.029938
"task1","gpu","float",8192,1024,8192,64,16,128,512,274.976440
"task1","gpu","float",8192,1024,8192,128,8,64,1024,286.776611
"task1","gpu","float",8192,1024,8192,128,8,64,1024,286.738647
"task1","gpu","float",8192,1024,8192,128,8,64,1024,286.787201
"task1","gpu","float",8192,1024,8192,256,4,32,2048,282.082184
"task1","gpu","float",8192,1024,8192,256,4,32,2048,282.230682
"task1","gpu","float",8192,1024,8192,256,4,32,2048,282.184540
"task1","gpu","float",8192,8192,1024,8,128,128,64,389.687439
"task1","gpu","float",8192,8192,1024,8,128,128,64,371.735596
"task1","gpu","float",8192,8192,1024,8,128,128,64,393.904480
"task1","gpu","float",8192,8192,1024,16,64,64,128,305.630951
"task1","gpu","float",8192,8192,1024,16,64,64,128,312.479309
"task1","gpu","float",8192,8192,1024,16,64,64,128,316.326172
"task1","gpu","float",8192,8192,1024,32,32,32,256,310.147308
"task1","gpu","float",8192,8192,1024,32,32,32,256,306.043762
"task1","gpu","float",8192,8192,1024,32,32,32,256,308.603516
"task1","gpu","float",8192,8192,1024,64,16,16,512,301.636078
"task1","gpu","float",8192,8192,1024,64,16,16,512,286.940399
"task1","gpu","float",8192,8192,1024,64,16,16,512,283.321503
"task1","gpu","float",8192,8192,1024,128,8,8,1024,292.491547
"task1","gpu","float",8192,8192,1024,128,8,8,1024,300.093109
"task1","gpu","float",8192,8192,1024,128,8,8,1024,302.560699
"task1","gpu","float",8192,8192,1024,256,4,4,2048,310.506561
"task1","gpu","float",8192,8192,1024,256,4,4,2048,311.277344
"task1","gpu","float",8192,8192,1024,256,4,4,2048,315.287476
"task1","gpu","double",8192,8192,8192,8,128,1024,64,3444.018311
"task1","gpu","double",8192,8192,8192,8,128,1024,64,3468.666260
"task1","gpu","double",8192,8192,8192,8,128,1024,64,3475.949951
"task1","gpu","double",8192,8192,8192,16,64,512,128,2875.273682
"task1","gpu","double",8192,8192,8192,16,64,512,128,2866.782959
"task1","gpu","double",8192,8192,8192,16,64,512,128,2870.641113
"task1","gpu","double",8192,8192,8192,32,32,256,256,2811.373535
"task1","gpu","double",8192,8192,8192,32,32,256,256,2830.746582
"task1","gpu","double",8192,8192,8192,32,32,256,256,2837.386719
"task1","gpu","double",8192,8192,8192,64,16,128,512,2939.908203
"task1","gpu","double",8192,8192,8192,64,16,128,512,2934.153809
"task1","gpu","double",8192,8192,8192,64,16,128,512,2958.548096
"task1","gpu","double",8192,8192,8192,128,8,64,1024,2994.588135
"task1","gpu","double",8192,8192,8192,128,8,64,1024,3008.242432
"task1","gpu","double",8192,8192,8192,128,8,64,1024,3013.245361
"task1","gpu","double",8192,8192,8192,256,4,32,2048,3226.677734
"task1","gpu","double",8192,8192,8192,256,4,32,2048,3232.335205
"task1","gpu","double",8192,8192,8192,256,4,32,2048,3236.473145
"task1a","cpu","float",1024,1024,1024,0,0,0,0,262.563110
"task1a","cpu","float",1024,1024,1024,0,0,0,0,249.709030
"task1a","cpu","float",1024,1024,1024,0,0,0,0,248.359451
"task1a","cpu","float",8192,8192,8192,0,0,0,0,224160.734375
"task1a","cpu","float",8192,8192,8192,0,0,0,0,224416.609375
"task1a","cpu","float",8192,8192,8192,0,0,0,0,224141.984375
"task1a","cpu","float",1024,8192,1024,0,0,0,0,2240.560059
"task1a","cpu","float",1024,8192,1024,0,0,0,0,2240.214111
"task1a","cpu","float",1024,8192,1024,0,0,0,0,2173.830566
"task1a","cpu","float",8192,1024,8192,0,0,0,0,28162.101562
"task1a","cpu","float",8192,1024,8192,0,0,0,0,28071.277344
"task1a","cpu","float",8192,1024,8192,0,0,0,0,28137.039062
"task1a","cpu","float",8192,8192,1024,0,0,0,0,25091.673828
"task1a","cpu","float",8192,8192,1024,0,0,0,0,25534.822266
"task1a","cpu","float",8192,8192,1024,0,0,0,0,25066.224609
"task1","gpu","float",30536,30536,30536,32,32,955,955,121486.492188
"task1","gpu","float",1024,1024,1024,8,8,128,128,7.045632
"task1","gpu","float",1024,1024,1024,8,8,128,128,7.040384
"task1","gpu","float",1024,1024,1024,8,8,128,128,7.042368
"task1","gpu","float",1024,1024,1024,16,16,64,64,4.237824
"task1","gpu","float",1024,1024,1024,16,16,64,64,4.231104
"task1","gpu","float",1024,1024,1024,16,16,64,64,4.224832
"task1","gpu","float",1024,1024,1024,32,32,32,32,3.655200
"task1","gpu","float",1024,1024,1024,32,32,32,32,3.674880
"task1","gpu","float",1024,1024,1024,32,32,32,32,3.658816
"task1","gpu","float",8192,8192,8192,8,8,1024,1024,2801.905273
"task1","gpu","float",8192,8192,8192,8,8,1024,1024,2807.828369
"task1","gpu","float",8192,8192,8192,8,8,1024,1024,2808.492432
"task1","gpu","float",8192,8192,8192,16,16,512,512,2304.585693
"task1","gpu","float",8192,8192,8192,16,16,512,512,2321.563965
"task1","gpu","float",8192,8192,8192,16,16,512,512,2332.625000
"task1","gpu","float",8192,8192,8192,32,32,256,256,2198.866699
"task1","gpu","float",8192,8192,8192,32,32,256,256,2195.762451
"task1","gpu","float",8192,8192,8192,32,32,256,256,2188.901855
"task1","gpu","float",1024,8192,1024,8,8,128,128,41.775585
"task1","gpu","float",1024,8192,1024,8,8,128,128,41.634750
"task1","gpu","float",1024,8192,1024,8,8,128,128,57.505760
"task1","gpu","float",1024,8192,1024,16,16,64,64,43.077599
"task1","gpu","float",1024,8192,1024,16,16,64,64,42.986240
"task1","gpu","float",1024,8192,1024,16,16,64,64,43.032257
"task1","gpu","float",1024,8192,1024,32,32,32,32,42.990784
"task1","gpu","float",1024,8192,1024,32,32,32,32,42.962177
"task1","gpu","float",1024,8192,1024,32,32,32,32,42.982624
"task1","gpu","float",8192,1024,8192,8,8,1024,1024,406.911194
"task1","gpu","float",8192,1024,8192,8,8,1024,1024,348.573395
"task1","gpu","float",8192,1024,8192,8,8,1024,1024,348.773987
"task1","gpu","float",8192,1024,8192,16,16,512,512,290.098907
"task1","gpu","float",8192,1024,8192,16,16,512,512,290.363403
"task1","gpu","float",8192,1024,8192,16,16,512,512,290.223358
"task1","gpu","float",8192,1024,8192,32,32,256,256,270.333618
"task1","gpu","float",8192,1024,8192,32,32,256,256,270.297455
"task1","gpu","float",8192,1024,8192,32,32,256,256,270.543427
"task1","gpu","float",8192,8192,1024,8,8,128,1024,402.311615
"task1","gpu","float",8192,8192,1024,8,8,128,1024,401.356506
"task1","gpu","float",8192,8192,1024,8,8,128,1024,386.328094
"task1","gpu","float",8192,8192,1024,16,16,64,512,311.708160
"task1","gpu","float",8192,8192,1024,16,16,64,512,303.585205
"task1","gpu","float",8192,8192,1024,16,16,64,512,310.420380
"task1","gpu","float",8192,8192,1024,32,32,32,256,304.801636
"task1","gpu","float",8192,8192,1024,32,32,32,256,310.719940
"task1","gpu","float",8192,8192,1024,32,32,32,256,305.114899
