program,num_cores,np,num_tasks_per_node,num_tasks_per_socket,N,exe_time,f_norm
"task7",1,4,4,2,8000,85.045748,0.000000001930
"task7",1,4,4,2,1000,0.125663,0.000000000033
"task7",1,4,4,2,2000,0.817091,0.000000000133
"task7",1,4,4,2,4000,9.911972,0.000000000500
"task7",1,4,4,2,8000,84.928202,0.000000001930
"task7",1,4,4,2,1000,0.126624,0.000000000033
"task7",1,4,4,2,2000,0.816978,0.000000000133
"task7",1,4,4,2,4000,9.909018,0.000000000500
"task7",1,4,4,2,8000,85.053864,0.000000001930
"task7",1,8,4,2,1000,0.071995,0.000000000033
"task7",1,8,4,2,2000,0.481731,0.000000000130
"task7",1,8,4,2,4000,4.063355,0.000000000504
"task7",1,8,4,2,8000,43.150845,0.000000001930
"task7",1,8,4,2,1000,0.073125,0.000000000033
"task7",1,8,4,2,2000,0.481293,0.000000000132
"task7",1,8,4,2,4000,4.155033,0.000000000504
"task7",1,8,4,2,8000,43.128620,0.000000001930
"task7",1,8,4,2,1000,0.081497,0.000000000033
"task7",1,8,4,2,2000,0.479190,0.000000000131
"task7",1,8,4,2,4000,3.883426,0.000000000504
"task7",1,8,4,2,8000,43.073672,0.000000001930
