num_cores,num_threads,schedule,seed,program,wc_time,area
24,4,"dynamic",12345,omp-avx-ts,4.428177,1.506630
24,12,"dynamic",12345,omp-ts,4.093747,1.506834
24,12,"dynamic",12345,omp-avx-ts,1.479377,1.506694
24,12,"dynamic",12345,omp-ts,4.094343,1.506584
24,12,"dynamic",12345,omp-avx-ts,1.476921,1.506704
24,12,"dynamic",12345,omp-ts,4.093302,1.506748
24,12,"dynamic",12345,omp-avx-ts,1.478388,1.506884
24,24,"dynamic",12345,omp-ts,2.050027,1.506794
24,24,"dynamic",12345,omp-avx-ts,0.743517,1.506794
24,24,"dynamic",12345,omp-ts,2.050224,1.506926
24,24,"dynamic",12345,omp-avx-ts,0.740321,1.506772
24,24,"dynamic",12345,omp-ts,2.049404,1.506752
24,24,"dynamic",12345,omp-avx-ts,0.741159,1.506818
24,2,"dynamic,250",12345,omp-ts,25.924658,1.506752
24,2,"dynamic,250",12345,omp-avx-ts,9.399371,1.506794
24,2,"dynamic,250",12345,omp-ts,25.917135,1.506752
24,2,"dynamic,250",12345,omp-avx-ts,9.393508,1.506794
24,2,"dynamic,250",12345,omp-ts,25.903437,1.506752
24,2,"dynamic,250",12345,omp-avx-ts,9.402245,1.506794
24,4,"dynamic,250",12345,omp-ts,15.849237,1.506792
24,4,"dynamic,250",12345,omp-avx-ts,5.692503,1.506746
24,4,"dynamic,250",12345,omp-ts,15.844128,1.506792
24,4,"dynamic,250",12345,omp-avx-ts,5.696496,1.506746
24,4,"dynamic,250",12345,omp-ts,15.846601,1.506792
24,4,"dynamic,250",12345,omp-avx-ts,5.693392,1.506746
24,12,"dynamic,250",12345,omp-ts,12.543756,1.506682
24,12,"dynamic,250",12345,omp-avx-ts,4.476308,1.506758
24,12,"dynamic,250",12345,omp-ts,12.536118,1.506682
24,12,"dynamic,250",12345,omp-avx-ts,4.477814,1.506758
24,12,"dynamic,250",12345,omp-ts,12.537428,1.506682
24,12,"dynamic,250",12345,omp-avx-ts,4.478835,1.506758
24,24,"dynamic,250",12345,omp-ts,12.535522,1.506682
24,24,"dynamic,250",12345,omp-avx-ts,4.482160,1.506758
