num_cores,num_threads,schedule,seed,program,wc_time,area
24,2,"UNDEFINED",12345,omp-not-ts,42.082657,1.506862
24,2,"UNDEFINED",12345,omp-not-ts,42.087940,1.506826
24,2,"UNDEFINED",12345,omp-not-ts,42.079884,1.506716
24,2,"UNDEFINED",12345,omp-avx-not-ts,14.904670,1.506706
24,2,"UNDEFINED",12345,omp-avx-not-ts,14.901569,1.506720
24,2,"UNDEFINED",12345,omp-avx-not-ts,14.896278,1.506770
24,2,"UNDEFINED",12345,omp-ts,42.053467,1.506622
24,2,"UNDEFINED",12345,omp-ts,42.030598,1.506622
24,2,"UNDEFINED",12345,omp-ts,42.038235,1.506622
24,2,"UNDEFINED",12345,omp-avx-ts,15.103913,1.506716
24,2,"UNDEFINED",12345,omp-avx-ts,15.104792,1.506716
24,2,"UNDEFINED",12345,omp-avx-ts,15.103822,1.506716
24,1,"UNDEFINED",12345,omp-ts,49.244427,1.506648
24,1,"UNDEFINED",12345,omp-avx-ts,17.771749,1.506656
24,1,"UNDEFINED",12345,omp-ts,49.208103,1.506648
24,1,"UNDEFINED",12345,omp-avx-ts,17.752712,1.506656
24,1,"UNDEFINED",12345,omp-ts,49.212906,1.506648
24,1,"UNDEFINED",12345,omp-avx-ts,17.737904,1.506656
24,2,"UNDEFINED",12345,omp-ts,42.017086,1.506622
24,2,"UNDEFINED",12345,omp-avx-ts,15.102053,1.506716
24,2,"UNDEFINED",12345,omp-ts,42.047066,1.506622
24,2,"UNDEFINED",12345,omp-avx-ts,15.104654,1.506716
24,2,"UNDEFINED",12345,omp-ts,42.022057,1.506622
24,2,"UNDEFINED",12345,omp-avx-ts,15.110214,1.506716
24,4,"UNDEFINED",12345,omp-ts,22.456575,1.506532
24,4,"UNDEFINED",12345,omp-avx-ts,8.049006,1.506778
24,4,"UNDEFINED",12345,omp-ts,22.447586,1.506532
24,4,"UNDEFINED",12345,omp-avx-ts,8.051135,1.506778
24,4,"UNDEFINED",12345,omp-ts,22.460258,1.506532
24,4,"UNDEFINED",12345,omp-avx-ts,8.044808,1.506778
24,12,"UNDEFINED",12345,omp-ts,9.717185,1.506682
24,12,"UNDEFINED",12345,omp-avx-ts,3.490234,1.506652
24,12,"UNDEFINED",12345,omp-ts,9.715075,1.506682
24,12,"UNDEFINED",12345,omp-avx-ts,3.470476,1.506652
24,12,"UNDEFINED",12345,omp-ts,9.730490,1.506682
24,12,"UNDEFINED",12345,omp-avx-ts,3.470560,1.506652
24,24,"UNDEFINED",12345,omp-ts,5.433862,1.506800
24,24,"UNDEFINED",12345,omp-avx-ts,1.949890,1.506664
24,24,"UNDEFINED",12345,omp-ts,5.433304,1.506800
24,24,"UNDEFINED",12345,omp-avx-ts,1.961141,1.506664
24,24,"UNDEFINED",12345,omp-ts,5.432584,1.506800
24,24,"UNDEFINED",12345,omp-avx-ts,1.950869,1.506664
24,2,"static,1",12345,omp-ts,42.041405,1.506622
24,2,"static,1",12345,omp-avx-ts,15.098370,1.506716
24,2,"static,1",12345,omp-ts,42.039982,1.506622
24,2,"static,1",12345,omp-avx-ts,15.103944,1.506716
24,2,"static,1",12345,omp-ts,42.032654,1.506622
24,2,"static,1",12345,omp-avx-ts,15.098354,1.506716
24,4,"static,1",12345,omp-ts,22.463289,1.506532
24,4,"static,1",12345,omp-avx-ts,8.046474,1.506778
24,4,"static,1",12345,omp-ts,22.451647,1.506532
24,4,"static,1",12345,omp-avx-ts,8.045988,1.506778
24,4,"static,1",12345,omp-ts,22.446686,1.506532
24,4,"static,1",12345,omp-avx-ts,8.047190,1.506778
24,12,"static,1",12345,omp-ts,9.718892,1.506682
24,12,"static,1",12345,omp-avx-ts,3.469520,1.506652
24,12,"static,1",12345,omp-ts,9.721959,1.506682
24,12,"static,1",12345,omp-avx-ts,3.469998,1.506652
24,12,"static,1",12345,omp-ts,9.724078,1.506682
24,12,"static,1",12345,omp-avx-ts,3.469376,1.506652
24,24,"static,1",12345,omp-ts,5.433489,1.506800
24,24,"static,1",12345,omp-avx-ts,1.950825,1.506664
24,24,"static,1",12345,omp-ts,5.434483,1.506800
