MFLOPS,N
4827.035690,9
6555.866804,19
8691.717715,40
9266.883047,85
9733.954465,180
11331.298750,378
11644.449712,794
6203.221048,1667
6391.114195,3502
6350.588781,7355
6355.182796,15447
3241.474382,32439
1615.814331,68122
1590.566020,143056
1587.382992,300419
1588.088071,630880
1393.256739,1324849
1052.024735,2782184
924.750955,5842587
884.971957,12269432
863.989303,25765808
865.103116,54108198
859.589775,113627216
